TimeStamp,Latitude,Longitude,Speed,Status
1691126107,29.86053,31.26958,60,1
1691126117,29.86069,31.27218,60,1
1691126127,29.86074,31.2746,60,1
1691126137,29.8609,31.27683,60,1
1691126147,29.86115,31.27895,60,1
1691126157,29.86154,31.28098,60,1
1691126167,29.86216,31.28294,60,1
1691126177,29.86283,31.28484,60,1
1691126187,29.8634,31.28658,60,1
1691126197,29.86382,31.28821,60,1
1691126208,29.86428,31.29009,60,1
1691126218,29.86455,31.2918,60,1
1691126227,29.8647,31.29302,60,1
1691126237,29.86483,31.2937,60,1
1691126239,29.86482,31.29374,60,1
1691126258,29.86494,31.29414,60,1
1691126267,29.86509,31.29476,60,1
1691126278,29.86537,31.29601,60,1
1691126288,29.86568,31.29729,60,1
1691126298,29.86624,31.29874,60,1
1691126308,29.86712,31.30015,60,1
1691126318,29.86798,31.30157,60,1
1691126328,29.86875,31.30317,60,1
1691126338,29.8694,31.3049,60,1
1691126348,29.87007,31.30661,60,1
1691126358,29.8709,31.30828,60,1
1691126369,29.87181,31.31016,60,1
1691126379,29.87265,31.31181,60,1
1691126389,29.87343,31.31334,60,1
1691126399,29.87411,31.31486,60,1
1691126409,29.87462,31.31632,60,1
1691126419,29.87549,31.31763,60,1
1691126429,29.87638,31.31895,60,1
1691126439,29.87721,31.32041,60,1
1691126449,29.87779,31.32213,60,1
1691126459,29.87782,31.32397,60,1
1691126469,29.87736,31.32568,60,1
1691126479,29.87703,31.32715,60,1
1691126489,29.87696,31.32863,60,1
1691126499,29.87711,31.32995,60,1
1691126501,29.87712,31.33001,60,1
1691126519,29.87732,31.33067,60,1
1691126530,29.87775,31.3317,60,1
1691126540,29.87831,31.33267,60,1
1691126550,29.87876,31.33341,60,1
1691126560,29.87934,31.33445,60,1
1691126570,29.87985,31.33587,60,1
1691126580,29.88,31.33749,60,1
1691126587,29.87996,31.33816,60,1
1691126591,29.87995,31.33817,60,1
1691126609,29.87988,31.33887,60,1
1691126620,29.87971,31.33996,60,1
1691126630,29.87948,31.34124,60,1
1691126640,29.8792,31.3426,60,1
1691126650,29.87894,31.3439,60,1
1691126660,29.87865,31.34524,60,1
1691126670,29.87845,31.34655,60,1
1691126680,29.87819,31.34791,60,1
1691126691,29.87792,31.3493,60,1
1691126701,29.87766,31.35067,60,1
1691126711,29.87741,31.35206,60,1
1691126721,29.87719,31.35357,60,1
1691126731,29.8771,31.35518,60,1
1691126741,29.87713,31.35687,60,1
1691126751,29.8772,31.35862,60,1
1691126761,29.87729,31.36044,60,1
1691126771,29.8774,31.3623,60,1
1691126781,29.87768,31.36416,60,1
1691126791,29.8781,31.36607,60,1
1691126801,29.87873,31.36805,60,1
1691126811,29.87954,31.37,60,1
1691126821,29.88055,31.37187,60,1
1691126831,29.88169,31.37363,60,1
1691126841,29.88289,31.37514,60,1
1691126852,29.88428,31.3766,60,1
1691126862,29.88567,31.37775,60,1
1691126872,29.88724,31.37884,60,1
1691126882,29.88894,31.37981,60,1
1691126892,29.89058,31.3805,60,1
1691126902,29.89213,31.38097,60,1
1691126912,29.89365,31.38127,60,1
1691126922,29.89518,31.38147,60,1
1691126932,29.89684,31.38153,60,1
1691126942,29.89861,31.38152,60,1
1691126952,29.90015,31.38151,60,1
1691126962,29.90166,31.38173,60,1
1691126972,29.9031,31.38203,60,1
1691126982,29.90451,31.38248,60,1
1691126992,29.90598,31.38307,60,1
1691127002,29.9075,31.38383,60,1
1691127013,29.90921,31.385,60,1
1691127023,29.91079,31.38629,60,1
1691127033,29.91222,31.38776,60,1
1691127043,29.91351,31.38932,60,1
1691127053,29.91462,31.39097,60,1
1691127063,29.91562,31.39279,60,1
1691127073,29.91647,31.39482,60,1
1691127083,29.91721,31.39706,60,1
1691127093,29.91773,31.39957,60,1
1691127103,29.91805,31.40232,60,1
1691127113,29.91813,31.40513,60,1
1691127123,29.91821,31.40795,60,1
1691127133,29.9182,31.4109,60,1
1691127143,29.91827,31.41375,60,1
1691127154,29.91832,31.41682,60,1
1691127164,29.91837,31.41937,60,1
1691127174,29.91844,31.42175,60,1
